,Player,Team,GS,MP,FGA,2PA,3PA,FTA,DRB,TOV,EPTS
0,Antonio Reeves,Kentucky,1.435020697158957,1.3932950474660284,2.3416538879177686,1.92517991763428,2.055601360536983,1.5804186251205308,0.9041648682562181,0.5312146082986952,15.285075969026844
1,Rob Dillingham,Kentucky,-0.7838582941880519,0.6549783723423517,1.6784888427833347,1.4119944698807552,1.4279829616402224,0.9940168660504617,0.46362812159713346,1.7013016467724318,13.262436309219753
2,Reed Sheppard,Kentucky,-0.5064984202696757,1.1654195304525479,0.8367793624203989,0.23899916072984048,1.375681428398826,0.27730360496482176,1.1559001520614094,1.7013016467724318,11.347005493653933
3,Tre Mitchell,Kentucky,0.8109609808426108,1.2930298199800971,0.8112730145306131,0.7155285050723997,0.6434599630192714,0.8637053640348906,2.162841287282175,0.8237363679171292,10.962909825424386
4,D.J. Wagner,Kentucky,1.0883208547609868,0.8828538893558322,1.0663364934284723,0.972121228949162,0.8003645627434616,0.40761510698039277,-0.16571008791584504,0.9699972477263464,9.261200645426342
5,Justin Edwards,Kentucky,1.2270007917201748,0.4817929794121063,0.5307031877429678,0.45893578119563705,0.4865553632950813,-0.04847515007410544,0.14895901684064428,-0.053828910938173054,6.656142811321822
6,Adou Thiero,Kentucky,0.4642611384446407,0.4817929794121063,0.14810796939617882,0.5322479880175692,-0.4548722350500599,0.40761510698039277,0.9041648682562181,-0.20008979074739028,6.012323839286979
7,Zvonimir Ivisic,Kentucky,-0.8531982626676459,-0.40236402660019793,-0.3110062926199678,-0.20087408020175263,-0.3502691685672664,-0.04847515007410544,0.14895901684064428,0.23869284868026105,3.9237547490217652
8,Aaron Bradshaw,Kentucky,-0.15979857787170557,-0.22006361298941354,-0.3620189883995397,-0.09090576996885426,-0.6640783680156469,0.08183635194146541,0.02309137493804849,-0.7851333099842585,3.1708316309059827
9,Ugonna Onyenso,Kentucky,0.11756129604667054,0.2448024417180868,-0.566069771517827,-0.1642179767907865,-0.9255860342226305,-0.11363090108189094,0.6524295844510268,-0.20008979074739028,4.248409969190025
10,Jordan Burks,Kentucky,-0.8531982626676459,-0.8125399572244628,-0.8721459461952582,-0.7140595279552778,-0.7686814344984403,-0.7000326601519599,-0.4803791926723342,-0.7851333099842585,1.8384291060757347
11,Joey Hart,Kentucky,-0.8531982626676459,-1.3412111566957374,-1.1272094250931175,-1.0439644586539725,-0.8732845009812338,-1.025811415190887,-1.2355850440879081,-1.0776550696026928,1.1448809854037598
12,Brennan Canada,Kentucky,-0.8531982626676459,-1.3959012807789728,-1.2037284687624752,-1.0806205620649387,-0.9255860342226305,-1.025811415190887,-0.9838497602827169,-1.2239159494119098,1.1598878915958162
13,Grant Darbyshire,Kentucky,-0.8531982626676459,-1.3959012807789728,-1.2037284687624752,-1.0806205620649387,-0.9255860342226305,-1.025811415190887,-1.2355850440879081,-1.2239159494119098,1.2173626195051868
14,Walker Horn,Kentucky,-0.8531982626676459,-1.3959012807789728,-1.2037284687624752,-1.0806205620649387,-0.9255860342226305,-1.025811415190887,-1.2355850440879081,-1.2239159494119098,1.2881555072985622
15,Kareem Watkins,Kentucky,-0.7838582941880519,-1.3959012807789728,-1.1272094250931175,-1.0806205620649387,-0.7686814344984403,-1.025811415190887,-1.1097174021853125,-1.2239159494119098,1.1354467121442011
16,Josh Hubbard,Mississippi State,0.2562412330058586,1.0560392822860771,2.2906411921381964,0.7521846084833657,3.6246473577788847,1.645574376128316,-0.0398424460132494,0.5312146082986952,15.91065648981769
17,Tolu Smith,Mississippi State,0.4642611384446407,1.0924993650082342,1.2703872765467594,2.4750214687987713,-0.9255860342226305,3.469935404346309,1.7852383615743876,2.5788669256277346,15.270250343157167
18,Cameron Matthews,Mississippi State,1.573700634118145,1.1563045097720088,0.32665240462468037,0.8621529187162639,-0.5594753015328534,1.189484119073818,1.5335030777691967,1.9938234063908662,10.367187473468942
19,Shakeel Moore,Mississippi State,0.6722810438834228,0.6732084137034301,0.3776651004042523,0.3123113675517725,0.329650763570891,0.08183635194146541,-0.0398424460132494,0.38495372848947823,6.4260015138487905
20,Dashawn Davis,Mississippi State,0.8109609808426108,0.6914384550645084,0.3521587525144662,0.12903085049694213,0.4865553632950813,0.016680600933680057,-0.29157772981844066,0.6774754881079124,6.501951042162734
21,D.J. Jeffries,Mississippi State,1.018980886281393,0.9193139720779889,0.22462701306553656,-0.09090576996885426,0.5911584297778747,0.1469921029492509,1.5964368987204942,0.6774754881079124,8.189489049285413
22,Jimmy Bell,Mississippi State,0.2562412330058586,-0.04687822005916834,-0.2599935968403959,0.2756552641408066,-0.9255860342226305,0.472770857988178,0.7782972263536226,0.6774754881079124,5.153032555427733
23,Trey Fort,Mississippi State,-0.36781848331048766,-0.44793913000289404,-0.055942813722108534,-0.6040912177223795,0.7480630295020649,-0.569721158136389,-0.4174453717210363,-0.3463506705566073,3.3703483108732333
24,KeShawn Murphy,Mississippi State,-0.8531982626676459,-0.2565236957115703,-0.18347455317103817,-0.09090576996885426,-0.24566610208447298,-0.30909815410524716,-0.0398424460132494,0.23869284868026105,3.99766421101535
25,Shawn Jones,Mississippi State,-0.2291385463512996,0.08073206946838077,-0.20898090106082412,-0.3108423904346508,0.06814309736390733,-0.43940965612081806,-0.6062468345749298,-0.053828910938173054,3.61468789541503
26,Andrew Taylor,Mississippi State,-0.8531982626676459,-0.4752841920445116,-0.28549994473018186,-0.5674351143114135,0.17274616384670088,-0.9606556641831016,-0.6062468345749298,-0.7851333099842585,2.2654029883835554
