,Player,Team,GS,MP,FGA,PTS
0,Antonio Reeves,Kentucky,2.6285850473538215,2.647710838791201,2.650114118933672,9.903128562117903
1,Rob Dillingham,Kentucky,1.6979371214616465,1.6657020329594936,1.6828584951104257,7.435722949085079
2,Reed Sheppard,Kentucky,1.166535558554331,1.1529938286422938,1.1502046437435585,6.082471590414867
3,Tre Mitchell,Kentucky,0.8597697473025074,0.889767104312074,0.8421011261118865,5.22849277649298
4,D.J. Wagner,Kentucky,0.7236317714725428,0.7123644105405443,0.7413074615194519,4.886368965007348
5,Justin Edwards,Kentucky,0.5142855487011992,0.5256433791946935,0.5324653674361352,4.234651045433201
6,Adou Thiero,Kentucky,0.18021863646951403,0.21377884103141145,0.23696000186703756,3.468901332675857
7,Zvonimir Ivisic,Kentucky,-0.14601426892868122,-0.08907148132992364,-0.15521241552630835,2.5554836191091166
8,Aaron Bradshaw,Kentucky,-0.193572153640882,-0.24132224255763465,-0.1991443098235832,2.3116022378381786
9,Ugonna Onyenso,Kentucky,-0.45360846126440507,-0.4709499936780823,-0.5098062375495738,1.6363295600112588
10,Jordan Burks,Kentucky,-0.8051480088080412,-0.8227200049351359,-0.8292992837365991,0.7969605534083457
11,Joey Hart,Kentucky,-1.0559647314005436,-1.0377133956962055,-1.0680307697725897,0.1193197128323118
12,Brennan Canada,Kentucky,-1.1716274694969524,-1.1416716154587732,-1.138666138842644,-0.2034127294559105
13,Grant Darbyshire,Kentucky,-1.1561428698810228,-1.1934508217568451,-1.1641290663353419,-0.13263219483584976
14,Walker Horn,Kentucky,-1.12225620200483,-1.2112496504697978,-1.1933056203297292,-0.09152501739932273
15,Kareem Watkins,Kentucky,-1.1328911560948078,-1.1442689094416822,-1.1065335662804434,-0.10606780308848718
16,Josh Hubbard,Mississippi State,2.055730982956342,2.083580245038978,2.1068163841725194,8.495042343425485
17,Tolu Smith,Mississippi State,1.6476129434393212,1.6336906847763493,1.6422993574854579,7.262243521467011
18,Cameron Matthews,Mississippi State,0.6093282590246517,0.5862337975535035,0.5515444669130637,4.456945994752434
19,Shakeel Moore,Mississippi State,0.34099375756584055,0.3594408740905974,0.34002134489854935,3.7690613640961557
20,Dashawn Davis,Mississippi State,0.1450658495059653,0.12176476180050211,0.1191044053039837,3.2359526784907433
